Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
75,1,1,1,13,25.86399999999998,18,118,109,120,111,43,26.71799999999998,1.1589999999999994,2.0739999999999985,1.646999999999999,20,6,7,4,120,6,7,5,2,0.5,17,2.75,1,L,0.22265,0.19316666666666665,0.29628571428571426,0.32939999999999997
75,1,2,1,14,21.837999999999983,20,91,93,90,68,2,21.959999999999983,0.061,14.212999999999989,0.244,20,1,17,2,92,1,66,2,3,0,16,4,1,L,0.23869565217391303,0.061,0.21534848484848482,0.122
75,2,3,1,11,13.663999999999989,20,68,47,101,14,91,67.46599999999995,0.7929999999999997,0.122,0.061,20,4,2,1,287,4,2,1,4,0,16,4,1,L,0.23507317073170728,0.19824999999999998,0.061,0.061
75,2,4,1,13,20.129999999999985,17,90,120,118,58,119,21.471999999999984,1.7079999999999989,4.513999999999997,10.247999999999992,20,8,12,17,97,10,19,44,2,0.5,16,2.5,1,L,0.221360824742268,0.1708,0.23757894736842103,0.2329090909090909
75,3,5,1,7,17.811999999999987,20,70,12,11,7,8,18.543999999999986,3.2329999999999974,1.3419999999999992,0.061,20,10,5,1,74,13,6,1,6,1,72,6,1,L,0.2505945945945946,0.24869230769230766,0.22366666666666665,0.061
75,3,6,1,1,38.30799999999997,17,183,80,83,73,64,38.36899999999997,0.488,0.427,2.2569999999999983,18,3,3,5,184,3,3,7,3,0.5,22,3.25,1,L,0.20852717391304346,0.16266666666666665,0.14233333333333334,0.3224285714285714
75,4,7,1,1,23.362999999999982,19,117,80,79,108,83,23.60699999999998,1.2809999999999993,6.038999999999995,5.001999999999996,20,7,11,13,118,8,24,27,3,0.5,20,2.75,1,L,0.20005932203389828,0.160125,0.251625,0.18525925925925923
75,4,8,1,3,20.983999999999984,17,106,2,66,91,72,132.55300000000543,1.585999999999999,1.1589999999999994,0.061,20,7,4,1,576,8,4,1,5,0,17,4.25,1,L,0.2301267361111111,0.19824999999999998,0.28974999999999995,0.061
75,5,9,1,2,20.068999999999985,19,83,50,113,19,31,21.593999999999983,5.977999999999995,2.439999999999998,3.476999999999997,20,12,7,13,92,18,8,18,4,0,17,4.25,1,L,0.23471739130434782,0.332111111111111,0.305,0.19316666666666665
75,5,10,1,11,55.936999999999955,12,233,3,72,62,86,62.82999999999995,0.061,2.2569999999999983,1.3419999999999992,20,1,9,6,255,1,9,7,4,0,17,4.25,1,L,0.24639215686274507,0.061,0.2507777777777777,0.1917142857142857
