Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,success_schema,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
23,5,9,0,7,29.340999999999976,19,130,17,16,21,18,29.889999999999976,7.685999999999994,0.122,1.1589999999999994,20,12,2,4,134,28,2,4,6,1,72,6,7,6,L,0.2230597014925373,0.27449999999999997,0.061,0.28974999999999995
23,5,10,0,3,49.40999999999996,13,224,30,31,34,29,49.47099999999996,0.488,0.427,0.244,14,1,3,1,225,1,4,1,5,1,60,5,"3,7",6,L,0.2198711111111111,0.488,0.10675,0.244
24,1,1,0,10,20.800999999999984,19,106,91,89,88,90,20.983999999999984,0.061,0.427,7.807999999999994,20,1,2,16,108,1,2,37,3,1,36,3,10,6,L,0.19429629629629627,0.061,0.2135,0.211027027027027
24,1,2,0,4,39.46699999999997,15,174,107,101,102,40,39.71099999999997,2.0129999999999986,0.061,2.805999999999998,17,4,1,10,176,6,1,17,2,0.5,17,2.75,"4,10",6,L,0.2256306818181818,0.3354999999999999,0.061,0.16505882352941176
24,2,3,0,1,16.774999999999988,9,70,83,77,81,84,17.506999999999987,0.244,0.6099999999999999,3.781999999999997,12,2,6,10,73,2,6,16,3,1,36,3,"1,4,10",6,L,0.23982191780821915,0.122,0.10166666666666667,0.236375
24,2,4,0,4,0,0,0,102,108,101,86,0.6709999999999998,0.7929999999999997,0.9759999999999995,7.197999999999994,5,4,2,15,5,4,2,28,2,0.5,15,2.25,"4,1",6,L,0.20600877192982453,0.19824999999999998,0.488,0.25707142857142856
24,3,5,0,4,37.69799999999997,19,162,102,97,106,49,40.44299999999997,0.9759999999999995,0.488,0.5489999999999999,20,5,4,1,173,5,5,1,2,0.5,16,2.5,"4,1",6,L,0.23377456647398842,0.19519999999999998,0.09759999999999999,0.5489999999999999
24,3,6,0,1,0.6099999999999999,3,3,84,69,78,75,2.988999999999998,2.561999999999998,0.061,0.061,14,7,1,1,21,9,1,1,3,0.5,22,3.25,"1,4",6,L,0.16905714285714285,0.2846666666666666,0.061,0.061
24,4,7,0,1,12.07799999999999,19,61,81,2,1,75,12.56599999999999,16.16499999999999,31.414999999999974,0.6709999999999998,20,17,17,5,63,60,137,6,3,0,18,4.5,4,6,L,0.19946031746031745,0.26941666666666664,0.22930656934306567,0.11183333333333333
24,4,8,0,4,11.406999999999991,16,46,96,107,98,97,20.678999999999984,0.183,0.061,2.744999999999998,20,2,1,10,88,2,1,12,2,0.5,15,2.25,4,6,L,0.20007999999999998,0.21228,0.24399999999999997,0.22874999999999998
24,5,9,0,5,16.469999999999988,17,84,46,38,47,3,17.933999999999987,1.8909999999999987,5.855999999999995,3.2329999999999974,20,5,12,10,89,8,24,18,5,0.5,36,5.25,"5,4",6,L,0.20150561797752808,0.23637499999999997,0.244,0.1796111111111111
24,5,10,0,4,7.197999999999994,18,33,14,35,73,30,47.57999999999996,0.427,0.061,0.7319999999999998,20,4,1,2,197,4,1,2,2,0,19,4.75,5,6,L,0.23248251748251747,0.10675,0.061,0.3659999999999999
25,1,1,0,8,51.11799999999996,13,209,119,69,120,109,52.15499999999996,0.8539999999999996,0.305,2.500999999999998,16,3,2,10,212,3,2,15,2,0.5,16,2.5,8,6,L,0.2460141509433962,0.2846666666666666,0.1525,0.16673333333333332
25,1,2,0,7,23.60699999999998,19,123,16,18,89,91,28.181999999999977,1.9519999999999986,7.502999999999994,9.454999999999993,20,5,17,16,144,5,37,49,6,0,18,4.5,8,6,L,0.19570833333333332,0.3903999999999999,0.20278378378378376,0.19295918367346937
25,2,3,0,8,20.556999999999984,18,91,115,109,118,63,21.837999999999983,1.463999999999999,0.7929999999999997,5.428999999999996,20,7,3,13,97,11,3,27,2,0.5,16,2.5,8,6,L,0.2251340206185567,0.1330909090909091,0.2643333333333333,0.20107407407407404
25,2,4,0,6,19.580999999999985,19,91,7,10,35,53,19.641999999999985,1.1589999999999994,6.770999999999995,0.8539999999999996,20,5,15,8,92,5,30,9,6,0,21,5.25,8,6,L,0.2135,0.2318,0.22569999999999998,0.09488888888888888
25,3,5,0,8,7.014999999999994,17,37,114,111,117,31,7.258999999999994,2.3179999999999983,10.674999999999992,3.4159999999999973,19,7,17,10,39,8,52,13,2,0.5,17,2.75,8,6,L,0.21510526315789472,0.20656818181818182,0.20528846153846153,0.2627692307692307
25,3,6,0,5,67.1000000000003,16,294,47,39,102,105,68.86900000000031,1.8299999999999987,2.3789999999999982,5.245999999999996,20,8,9,12,303,11,14,18,5,0,14,3.5,8,6,L,0.22729042904290428,0.16636363636363635,0.16992857142857143,0.2914444444444444
25,4,7,0,1,26.41299999999998,15,124,76,73,80,74,26.59599999999998,2.500999999999998,1.7689999999999988,0.183,17,8,6,2,126,11,7,2,3,1,36,3,"1,8",6,L,0.21107936507936506,0.22736363636363635,0.25271428571428567,0.0915
25,4,8,0,8,1.524999999999999,8,10,112,115,87,9,4.635999999999997,0.7319999999999998,11.589999999999991,0.061,19,3,15,1,23,3,48,1,2,0,13,3.25,1,6,L,0.21893150684931506,0.1586,0.2290175438596491,0.061
25,5,9,0,3,12.38299999999999,20,71,14,56,34,91,181.17000000001204,0.6709999999999998,0.6709999999999998,0.244,20,5,5,2,765,6,5,2,5,0,18,4.5,1,6,L,0.23682352941176468,0.11183333333333333,0.13419999999999999,0.122
25,5,10,0,1,14.395999999999988,17,60,76,81,83,84,15.798999999999987,0.427,0.305,0.488,20,4,3,3,68,4,3,3,3,1,36,3,1,6,L,0.23233823529411762,0.10675,0.10166666666666667,0.16266666666666665
26,1,1,0,6,28.791999999999977,14,140,9,2,49,8,35.196999999999974,0.244,0.122,3.3549999999999973,20,2,1,11,164,2,1,14,6,0.5,40,5.5,6,6,L,0.21461585365853658,0.122,0.122,0.23964285714285713
26,1,2,0,5,30.804999999999975,18,144,15,42,47,43,43.919999999999966,1.9519999999999986,0.5489999999999999,0.7319999999999998,20,5,4,3,191,5,4,3,5,0.5,36,5.25,"5,6",6,L,0.22994764397905756,0.3903999999999999,0.13724999999999998,0.244
26,2,3,0,0,0,0,0,5,99,57,78,0.366,1.2809999999999993,0.6709999999999998,0.244,1,7,2,1,1,7,2,1,0,0,15,3.75,0,6,L,0.199592,0.183,0.3355,0.244
26,2,4,0,7,28.242999999999977,14,127,13,14,18,24,28.303999999999977,1.2809999999999993,0.6709999999999998,4.269999999999997,15,3,3,10,128,4,3,21,6,1,72,6,7,6,L,0.221125,0.32025,0.22366666666666665,0.20333333333333334
26,3,5,0,7,20.556999999999984,18,104,22,13,19,15,21.349999999999984,4.635999999999997,0.122,2.3179999999999983,20,11,1,5,111,17,1,8,6,1,72,6,7,6,L,0.19234234234234235,0.2727058823529412,0.122,0.28974999999999995
26,3,6,0,2,68.32000000000045,14,298,51,9,47,7,68.93000000000045,1.524999999999999,6.709999999999995,1.2809999999999993,17,6,17,4,301,6,39,4,4,0,21,5.25,7,6,L,0.2290033222591362,0.25416666666666665,0.17205128205128203,0.32025
26,4,7,0,7,24.88799999999998,17,94,17,18,93,87,26.53499999999998,4.391999999999997,13.35899999999999,2.3179999999999983,20,10,18,9,105,19,62,12,6,0,18,4.5,0,6,L,0.25271428571428567,0.2311578947368421,0.21546774193548385,0.19316666666666665
26,4,8,0,9,32.39099999999998,16,157,72,64,101,31,33.610999999999976,0.122,12.32199999999999,5.367999999999996,20,1,14,12,161,1,52,21,4,0,15,3.75,0,6,L,0.2087639751552795,0.122,0.23696153846153845,0.25561904761904763
