,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
782,36,11,21,18,9,13,14,57,13,23,29,0.315844828,0.119857143,0.29,0.3536,5,5,5,5,18.319,1.678,6.96,10.608,5,1,60,0,-1,1,LH
783,36,11,22,15,7,7,16,87,17,9,76,0.214988636,0.186222222,0.3001,0.212324675,4,4,4,4,18.919,3.352,3.001,16.349,4,1,48,0,-1,1,LH
784,36,12,23,15,4,9,7,28,8,18,9,0.507517241,0.255444444,0.108157895,0.1407,2,2,2,2,14.718,2.299,2.055,1.407,2,1,24,0,-1,1,LH
785,36,12,24,15,7,17,6,45,10,49,10,0.264826087,0.572818182,0.16062,0.316909091,3,3,3,3,12.182,6.301,8.031,3.486,3,1,36,0,-1,1,LH
786,37,1,1,20,5,2,2,199,6,1,1,0.41232,0.300142857,0.7195,0.68,3,3,3,3,82.464,2.101,1.439,1.36,3,1,36,0,-1,0,LH
787,37,1,2,20,2,2,3,61,1,1,7,0.284822581,0.8535,0.7765,0.187875,2,2,2,2,17.659,1.707,1.553,1.503,2,1,24,0,-1,0,LH
788,37,2,3,20,3,11,4,137,3,15,4,0.337608696,0.4195,0.2595,0.3582,5,5,5,5,46.59,1.678,4.152,1.791,5,1,60,0,-1,0,LH
789,37,2,4,19,3,9,6,49,5,19,5,0.35468,0.410166667,0.20155,0.396333333,4,4,4,4,17.734,2.461,4.031,2.378,4,1,48,0,-1,0,LH
790,37,3,5,20,5,2,11,193,4,1,13,0.347097938,0.4426,0.857,0.241642857,2,2,2,2,67.337,2.213,1.714,3.383,2,1,24,0,-1,0,LH
791,37,3,6,20,3,14,9,130,3,24,10,0.300824427,0.49175,0.2486,0.259181818,6,6,6,6,39.408,1.967,6.215,2.851,6,1,72,0,-1,0,LH
792,37,4,7,19,7,7,9,65,6,7,12,0.331333333,0.332714286,0.344875,0.214153846,5,5,5,5,21.868,2.329,2.759,2.784,5,1,60,0,-1,0,LH
