,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
491,62,9,17,20,4,18,14,117,5,46,38,0.779169492,0.242833333,0.546638298,0.637512821,4,4,5,4,91.942,1.457,25.692,24.863,4.25,0.5,29,0,-1,1,Lc
492,62,9,18,7,8,3,18,17,11,2,46,0.836,1.75425,0.485666667,0.859425532,2,3,3,3,15.048,21.051,1.457,40.393,2.75,0.5,20,0,-1,1,Lc
493,63,1,1,20,11,13,12,458,70,51,62,0.329039216,0.170619718,0.133269231,0.184746032,4,5,6,6,151.029,12.114,6.93,11.639,5.25,0.25,21,0,-1,0,Lc
494,63,2,3,20,3,8,17,152,4,10,133,0.330411765,0.3246,0.326090909,0.241432836,4,3,4,5,50.553,1.623,3.587,32.352,4,0.25,16,0,-1,0,Lc
495,63,2,4,20,5,7,18,151,7,7,81,0.335098684,0.346375,0.26475,0.325585366,3,3,3,5,50.935,2.771,2.118,26.698,3.5,0.25,23,0,-1,0,Lc
496,63,4,7,20,9,7,12,71,14,12,39,0.489208333,0.4052,0.317846154,0.2558,3,3,3,4,35.223,6.078,4.132,10.232,3.25,0.5,22,0,-1,0,Lc
497,63,6,12,20,6,16,12,117,8,24,23,0.417084746,0.221444444,1.01252,0.380333333,6,6,6,6,49.216,1.993,25.313,9.128,6,0.75,72,0,-1,1,Lc
498,63,7,13,20,17,5,5,142,33,4,5,0.392902098,0.505705882,0.386,0.342,3,2,2,2,56.185,17.194,1.93,2.052,2.25,0.75,15,0,-1,1,Lc
499,63,9,17,20,2,19,9,69,1,42,27,0.707028571,0.487,0.565325581,0.255535714,6,6,2,3,49.492,0.974,24.309,7.155,4.25,0.25,17,0,-1,1,Lc
500,63,9,18,17,5,10,9,43,5,14,10,0.424386364,0.272,0.912,0.668090909,6,6,6,4,18.673,1.632,13.68,7.349,5.5,0.25,40,0,-1,1,Lc
501,63,11,21,20,9,18,6,86,14,49,13,0.39037931,0.6028,0.34538,0.659928571,6,6,6,4,33.963,9.042,17.269,9.239,5.5,0.5,40,0,-1,1,Lc
502,63,11,22,20,4,15,3,78,4,41,3,0.336531646,0.1998,0.491095238,0.87175,6,6,5,6,26.586,0.999,20.626,3.487,5.75,0.5,41,0,-1,1,Lc
503,64,1,1,20,3,18,10,71,2,36,24,1.195638889,0.697666667,0.990783784,0.55832,3,3,3,3,86.086,2.093,36.659,13.958,3,0.5,36,0,-1,0,Lc
504,64,1,2,19,4,7,4,87,7,15,4,0.757306818,0.382375,0.9531875,0.6068,2,2,3,3,66.643,3.059,15.251,3.034,2.5,0.5,10,0,-1,0,Lc
505,64,2,3,13,4,10,16,84,4,28,39,0.310952941,0.3914,0.677965517,0.5362,2,2,2,5,26.431,1.957,19.661,21.448,2.75,0.5,17,0,-1,0,Lc
506,64,2,4,19,7,11,15,112,11,24,43,0.537185841,0.55325,0.49412,0.469318182,6,6,6,5,60.702,6.639,12.353,20.65,5.75,0.5,41,0,-1,0,Lc
507,64,3,5,18,5,8,5,161,4,20,6,0.337265432,0.279,0.622,0.452142857,4,4,6,4,54.637,1.395,13.062,3.165,4.5,0.75,30,0,-1,0,Lc
508,64,3,6,16,2,5,2,95,3,5,1,0.4753125,0.86975,0.260666667,1.637,2,2,2,2,45.63,3.479,1.564,3.274,2,0.75,24,0,-1,0,Lc
509,64,4,7,20,6,15,7,79,9,42,17,0.742725,0.3257,0.331488372,0.465277778,6,6,3,2,59.418,3.257,14.254,8.375,4.25,0.5,17,0,-1,0,Lc
510,64,4,8,18,3,11,19,106,18,75,47,0.437514019,0.239736842,0.339184211,0.440479167,6,6,6,6,46.814,4.555,25.778,21.143,6,0.5,72,0,-1,0,Lc
511,64,5,9,13,5,15,12,34,6,27,21,0.552714286,0.190714286,1.236892857,0.798454545,4,4,6,5,19.345,1.335,34.633,17.566,4.75,0.25,19,0,-1,0,Lc
512,64,5,10,20,3,12,11,93,2,25,26,0.548510638,0.435,0.730576923,0.660444444,5,5,5,2,51.56,1.305,18.995,17.832,4.25,0.25,32,0,-1,0,Lc
513,64,6,11,20,11,7,16,106,27,14,69,0.609280374,0.350464286,0.949066667,0.349257143,5,5,5,2,65.193,9.813,14.236,24.448,4.25,0.5,32,0,-1,1,Lc
514,64,6,12,20,5,4,12,92,6,10,46,0.689021505,0.371285714,0.675545455,0.637170213,6,6,6,5,64.079,2.599,7.431,29.947,5.75,0.5,41,0,-1,1,Lc
515,64,7,13,19,6,11,7,166,9,20,20,0.480826347,0.1858,0.50447619,0.521619048,3,3,3,5,80.298,1.858,10.594,10.954,3.5,0.5,23,0,-1,1,Lc
516,64,7,14,20,4,6,12,82,4,5,21,0.675566265,0.5996,0.7895,0.473363636,4,4,4,5,56.072,2.998,4.737,10.414,4.25,0.5,29,0,-1,1,Lc
517,64,8,15,15,4,3,10,72,3,2,26,0.370863014,0.5455,0.483333333,0.66062963,3,3,3,4,27.073,2.182,1.45,17.837,3.25,0.25,22,0,-1,1,Lc
518,64,8,16,20,9,19,4,88,13,89,3,0.650955056,0.449142857,0.423644444,0.576,5,5,2,4,57.935,6.288,38.128,2.304,4,0.25,16,0,-1,1,Lc
519,64,9,17,20,8,2,13,139,22,4,28,0.519592857,0.253,0.503,0.373689655,2,2,2,6,72.743,5.819,2.515,10.837,3,0.5,18,0,-1,1,Lc
520,64,9,18,20,7,19,7,147,8,52,16,0.48227027,0.813333333,0.747433962,0.184352941,4,4,5,4,71.376,7.32,39.614,3.134,4.25,0.5,29,0,-1,1,Lc
521,64,10,19,20,3,15,9,329,4,49,52,0.232339394,0.2898,0.2723,0.229754717,5,5,2,5,76.672,1.449,13.615,12.177,4.25,0.5,32,0,-1,1,Lc
522,64,10,20,18,2,14,14,74,2,83,35,0.576666667,0.474666667,0.219059524,0.393555556,5,5,6,5,43.25,1.424,18.401,14.168,5.25,0.5,36,0,-1,1,Lc
523,64,11,21,18,11,13,5,116,20,38,11,0.580512821,0.793619048,0.684897436,0.86,5,5,4,6,67.92,16.666,26.711,10.32,5,0.25,20,0,-1,1,Lc
524,64,11,22,17,3,11,7,74,3,20,11,0.662226667,0.3345,0.735428571,0.5365,2,2,2,5,49.667,1.338,15.444,6.438,2.75,0.25,17,0,-1,1,Lc
525,64,12,23,12,20,6,20,49,73,6,94,0.58008,0.510135135,0.281142857,0.525094737,2,6,6,6,29.004,37.75,1.968,49.884,5,0.5,38,0,-1,1,Lc
526,64,12,24,12,5,4,12,34,6,5,89,0.603914286,0.585714286,0.388833333,0.360777778,4,2,4,4,21.137,4.1,2.333,32.47,3.5,0.5,26,0,-1,1,Lc
