Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
8,3,6,0,7,12.87099999999999,15,66,16,22,31,18,13.35899999999999,3.1109999999999975,7.624999999999994,0.366,17,10,11,2,68,14,19,2,6,0.5,41,5.75,6,L,0.19645588235294117,0.2222142857142857,0.4013157894736841,0.183
8,4,7,0,8,26.10799999999998,18,127,119,112,120,5,26.41299999999998,0.122,0.6099999999999999,7.624999999999994,20,1,3,15,130,1,3,29,2,0.5,18,3,6,L,0.20317692307692306,0.122,0.20333333333333334,0.26293103448275856
8,4,8,0,5,22.203999999999983,19,113,48,38,44,62,25.92499999999998,5.245999999999996,5.428999999999996,7.136999999999994,20,9,11,15,134,18,20,28,5,0.5,34,4.75,6,L,0.19347014925373135,0.29144444444444434,0.27144999999999997,0.25489285714285714
8,5,9,0,6,23.60699999999998,18,104,3,67,2,11,33.061999999999976,5.977999999999995,1.7079999999999989,0.7929999999999997,20,15,10,4,142,26,11,4,6,0.5,40,5.5,6,L,0.23283098591549295,0.22992307692307692,0.15527272727272726,0.19824999999999998
8,5,10,0,8,21.776999999999983,20,113,116,120,111,54,23.179999999999982,0.244,0.061,8.844999999999994,20,3,1,14,118,3,1,33,2,0.5,16,2.5,6,L,0.19644067796610168,0.08133333333333333,0.061,0.268030303030303
9,1,1,0,7,15.676999999999987,19,82,22,18,21,90,16.10399999999999,1.0369999999999995,18.726999999999986,0.9759999999999995,20,3,17,3,86,3,73,3,6,0.5,39,5.25,6,L,0.18725581395348836,0.3456666666666666,0.2565342465753424,0.3253333333333333
9,1,2,0,2,20.007999999999985,19,98,52,59,51,82,23.85099999999998,0.8539999999999996,10.857999999999992,0.5489999999999999,20,3,17,3,111,3,44,3,4,0.5,27,3.75,6,L,0.21487387387387386,0.2846666666666666,0.24677272727272723,0.183
9,2,3,0,9,23.179999999999982,18,125,71,69,28,62,25.43699999999998,5.855999999999995,1.2199999999999993,0.183,20,15,5,2,137,24,5,2,4,0.5,29,4.25,6,L,0.1856715328467153,0.24399999999999997,0.244,0.0915
9,2,4,0,2,11.71199999999999,17,56,16,54,18,94,34.952999999999975,0.183,0.122,1.2199999999999993,20,1,1,3,163,1,1,3,4,0,19,4.75,6,L,0.21443558282208589,0.183,0.122,0.4066666666666665
9,3,5,0,7,9.942999999999993,16,50,23,20,18,21,15.31099999999999,2.0129999999999986,0.5489999999999999,4.574999999999997,20,6,3,12,66,10,3,18,6,1,72,6,6,L,0.23198484848484846,0.20129999999999998,0.183,0.2541666666666666
